Potri.011G064600	TCONS_00194278
Potri.018G067300	TCONS_00279889
Potri.018G049800	TCONS_00279308
Potri.011G077200	TCONS_00200075
Potri.018G143500	TCONS_00276998
Potri.006G216800	TCONS_00116534
Potri.006G227200	TCONS_00127491
Potri.003G218600	TCONS_00073140
Potri.006G146400	TCONS_00114025
Potri.006G051700	TCONS_00110364
Potri.003G191200	TCONS_00063983
Potri.016G028000	TCONS_00252561
Potri.003G027400	TCONS_00057158
Potri.003G221800	TCONS_00064919
Potri.002G138400	TCONS_00040463
Potri.018G039800	TCONS_00278969
Potri.001G187200	TCONS_00024555
Potri.008G119700	TCONS_00155177
Potri.013G130000	TCONS_00224833
Potri.003G014200	TCONS_00056574
Potri.014G177800	TCONS_00232694
Potri.007G060800	TCONS_00131902
Potri.006G222200	TCONS_00116762
XLOC_084018	TCONS_00296111
Potri.003G204400	TCONS_00072750
Potri.004G039900	TCONS_00082377
Potri.001G047600	TCONS_00019049
Potri.010G255200	TCONS_00181837
Potri.014G176600	TCONS_00232672
Potri.014G047200	TCONS_00235124
Potri.018G022400	TCONS_00272138
Potri.007G089200	TCONS_00138359
Potri.003G171000	TCONS_00071600
Potri.001G249400	TCONS_00009337
Potri.009G121400	TCONS_00170216
Potri.002G020900	TCONS_00035621
Potri.017G050500	TCONS_00263343
Potri.013G089500	TCONS_00217856
Potri.005G204300	TCONS_00106285
Potri.004G225800	TCONS_00088761
Potri.019G056300	TCONS_00288993
Potri.019G116700	TCONS_00290811
Potri.010G226700	TCONS_00180819
Potri.013G047500	TCONS_00215986
Potri.007G069600	TCONS_00132390
Potri.T006600	TCONS_00294917
Potri.001G314800	TCONS_00011779
Potri.004G235200	TCONS_00081066
Potri.001G348500	TCONS_00013015
Potri.008G019400	TCONS_00141436
Potri.018G090700	TCONS_00280715
Potri.011G169200	TCONS_00203399
Potri.001G210100	TCONS_00007826
Potri.016G092700	TCONS_00259880
Potri.019G072800	TCONS_00289603
Potri.007G131500	TCONS_00139897
Potri.014G198400	TCONS_00233500
Potri.016G063200	TCONS_00253621
Potri.009G159700	TCONS_00171428
Potri.003G198600	TCONS_00072520
Potri.003G071500	TCONS_00067659
Potri.009G053400	TCONS_00167424
Potri.T037200	TCONS_00298417
Potri.001G199600	TCONS_00025013
Potri.001G407000	TCONS_00015143
Potri.008G014400	TCONS_00150500
Potri.005G021200	TCONS_00090391
Potri.001G387600	TCONS_00014489
Potri.008G063000	TCONS_00152621
Potri.017G072800	TCONS_00263996
Potri.014G141200	TCONS_00231203
Potri.004G161400	TCONS_00078537
Potri.006G185600	TCONS_00115380
Potri.008G098700	TCONS_00144863
Potri.007G112900	TCONS_00139153
Potri.004G158000	TCONS_00078385
Potri.001G352700	TCONS_00013243
Potri.001G164100	TCONS_00006221
Potri.003G202800	TCONS_00072694
Potri.002G195200	TCONS_00042736
Potri.018G106100	TCONS_00281290
Potri.001G236900	TCONS_00008860
Potri.001G140200	TCONS_00005094
Potri.013G131600	TCONS_00224877
Potri.008G093400	TCONS_00154033
Potri.014G078100	TCONS_00228613
Potri.001G036400	TCONS_00018677
Potri.018G096700	TCONS_00280945
Potri.016G144100	TCONS_00261543
Potri.003G126100	TCONS_00061394
Potri.006G124100	TCONS_00123649
Potri.002G092100	TCONS_00038663
Potri.010G164300	TCONS_00177836
Potri.001G230500	TCONS_00026237
Potri.002G187600	TCONS_00042338
Potri.T125700	TCONS_00295079
Potri.005G226600	TCONS_00097800
Potri.006G131100	TCONS_00113386
Potri.007G032700	TCONS_00130910
Potri.007G065600	TCONS_00132262
Potri.006G270600	TCONS_00118698
Potri.012G121500	TCONS_00213364
Potri.001G369000	TCONS_00031137
Potri.018G026400	TCONS_00278461
XLOC_085815	TCONS_00298904
Potri.001G155500	TCONS_00005813
Potri.007G014200	TCONS_00130285
Potri.012G080800	TCONS_00206634
Potri.013G117100	TCONS_00218778
Potri.010G070600	TCONS_00185067
Potri.001G024200	TCONS_00018316
Potri.006G019300	TCONS_00119648
Potri.015G073200	TCONS_00249240
Potri.003G095000	TCONS_00060055
Potri.009G095700	TCONS_00162984
Potri.009G156500	TCONS_00164986
Potri.007G128800	TCONS_00139742
Potri.010G136800	TCONS_00187729
Potri.010G137400	TCONS_00187750
Potri.007G015400	TCONS_00130371
Potri.010G005400	TCONS_00182213
Potri.002G205900	TCONS_00053778
Potri.001G457800	TCONS_00034094
Potri.012G039100	TCONS_00210400
Potri.014G024700	TCONS_00234380
Potri.001G169700	TCONS_00023875
Potri.011G009500	TCONS_00198048
Potri.010G026000	TCONS_00172623
Potri.010G090800	TCONS_00185891
Potri.018G024800	TCONS_00272317
Potri.014G075700	TCONS_00236244
Potri.004G015200	TCONS_00073883
Potri.013G055300	TCONS_00216294
Potri.001G149600	TCONS_00023201
Potri.010G184500	TCONS_00178865
Potri.001G273400	TCONS_00027808
XLOC_065382	TCONS_00240530
Potri.015G044100	TCONS_00242671
Potri.013G125800	TCONS_00219037
Potri.011G052500	TCONS_00199265
Potri.010G048500	TCONS_00184071
Potri.004G087400	TCONS_00076121
Potri.014G077700	TCONS_00236343
Potri.010G027100	TCONS_00183051
Potri.001G166500	TCONS_00023764
Potri.001G415900	TCONS_00032703
Potri.011G072400	TCONS_00194518
Potri.012G067300	TCONS_00211556
Potri.011G115700	TCONS_00195834
Potri.009G075300	TCONS_00162231
Potri.006G141900	TCONS_00124446
Potri.010G065900	TCONS_00174154
Potri.004G106500	TCONS_00084754
Potri.001G027400	TCONS_00000944
Potri.001G289400	TCONS_00010876
Potri.003G112900	TCONS_00060909
Potri.008G107900	TCONS_00154633
Potri.019G078400	TCONS_00289789
Potri.006G078700	TCONS_00121830
Potri.004G062700	TCONS_00075246
Potri.002G026700	TCONS_00046772
Potri.010G100100	TCONS_00186398
Potri.014G192800	TCONS_00233229
Potri.006G086000	TCONS_00111856
Potri.008G149700	TCONS_00146908
Potri.003G095200	TCONS_00060065
Potri.013G010700	TCONS_00214606
Potri.002G153900	TCONS_00051949
Potri.018G042800	TCONS_00273026
Potri.009G132800	TCONS_00164143
Potri.T034500	TCONS_00298243
Potri.012G000800	TCONS_00208967
Potri.005G044900	TCONS_00091067
Potri.002G251000	TCONS_00045024
Potri.006G141300	TCONS_00124424
Potri.002G031900	TCONS_00046915
Potri.008G094700	TCONS_00154090
Potri.010G219900	TCONS_00180530
Potri.004G054300	TCONS_00075050
Potri.004G104700	TCONS_00084666
Potri.016G119900	TCONS_00260931
Potri.010G065200	TCONS_00184724
Potri.009G079100	TCONS_00168453
Potri.009G022300	TCONS_00160283
Potri.001G193000	TCONS_00024777
Potri.013G126200	TCONS_00219049
Potri.002G170100	TCONS_00052623
Potri.014G092300	TCONS_00229205
Potri.012G091900	TCONS_00207033
Potri.013G105900	TCONS_00218459
Potri.018G127700	TCONS_00282024
Potri.017G134800	TCONS_00270770
Potri.019G031600	TCONS_00283806
Potri.010G096400	TCONS_00175376
Potri.002G189600	TCONS_00042431
Potri.011G139800	TCONS_00202328
Potri.016G064600	TCONS_00253756
Potri.008G064800	TCONS_00152761
Potri.009G105500	TCONS_00169416
XLOC_008015	TCONS_00027704
Potri.002G059700	TCONS_00037269
Potri.003G099800	TCONS_00068880
Potri.018G017000	TCONS_00271878
Potri.003G104900	TCONS_00060515
Potri.010G057700	TCONS_00173864
Potri.001G287400	TCONS_00028354
Potri.001G319300	TCONS_00011915
Potri.006G113200	TCONS_00123138
Potri.008G026400	TCONS_00150993
Potri.003G007400	TCONS_00056280
Potri.014G160700	TCONS_00239455
Potri.016G034100	TCONS_00257895
Potri.018G050200	TCONS_00273248
